xaxis,yaxis,filename,cluster,flog
47.85,5.84,13600.00,0.00,12.10
39.08,10.30,19635.00,0.00,10.90
19.28,-3.47,19593.00,0.00,8.30
34.15,-0.33,19450.00,0.00,7.00
24.23,-23.52,19422.00,0.00,14.00
43.48,5.54,19250.00,0.00,12.80
21.82,-18.75,19109.00,0.00,25.00
32.13,-20.17,19093.00,0.00,14.30
19.95,-8.45,19059.00,0.00,13.00
34.00,-12.71,19014.00,0.00,17.30
24.98,-19.47,33213.00,0.00,12.60
10.83,-4.64,18813.00,0.00,19.70
8.03,-7.50,19705.00,0.00,29.90
25.44,-20.90,18785.00,0.00,15.40
28.21,-8.74,18718.00,0.00,18.80
39.56,0.17,18657.00,0.00,16.00
10.92,-6.92,18631.00,0.00,14.60
29.02,-9.61,18548.00,0.00,18.80
26.70,1.54,18515.00,0.00,12.90
16.88,-13.18,18507.00,0.00,21.10
24.08,-21.28,18420.00,0.00,18.20
40.08,-0.30,18396.00,0.00,16.00
27.28,1.65,18382.00,0.00,12.90
39.17,4.80,18304.00,0.00,13.10
37.39,0.96,18298.00,0.00,20.10
25.30,-22.86,18731.00,0.00,12.40
-4.92,-13.83,18249.00,0.00,21.10
40.65,8.89,19749.00,0.00,14.30
33.88,-5.71,19830.00,0.00,10.60
29.10,1.46,21032.00,0.00,12.20
18.28,-11.03,20916.00,0.00,14.40
7.61,-6.86,20899.00,0.00,16.90
45.30,4.14,20716.00,0.00,9.60
26.78,1.44,20638.00,0.00,12.90
28.43,-8.52,20572.00,0.00,20.10
31.02,-21.56,20554.00,0.00,8.50
34.78,3.28,20491.00,0.00,19.10
34.47,-7.40,20475.00,0.00,8.70
35.51,-14.45,20416.00,0.00,13.80
24.44,-21.92,20336.00,0.00,14.90
18.31,-11.77,19808.00,0.00,13.80
20.14,-15.45,20328.00,0.00,33.50
29.73,1.47,20308.00,0.00,12.60
12.94,-3.40,20283.00,0.00,12.40
41.78,2.21,20268.00,0.00,12.60
36.00,-13.84,20247.00,0.00,13.80
20.13,-15.45,20157.00,0.00,33.40
26.43,-0.25,20102.00,0.00,13.90
38.98,9.51,20082.00,0.00,14.80
31.32,-9.55,20073.00,0.00,17.80
33.91,-12.85,20027.00,0.00,16.00
18.17,-11.80,19850.00,0.00,13.40
34.33,-1.48,19847.00,0.00,15.70
45.18,5.98,20316.00,0.00,19.50
26.10,0.05,18220.00,0.00,12.90
36.35,7.68,18143.00,0.00,11.90
38.03,9.67,18106.00,0.00,12.70
6.96,-7.26,17026.00,0.00,19.30
25.60,-19.11,17009.00,0.00,12.60
33.40,-13.01,17001.00,0.00,15.50
35.65,5.75,16995.00,0.00,15.00
40.69,2.60,16973.00,0.00,11.80
28.81,-9.10,16934.00,0.00,18.80
34.32,-7.44,16923.00,0.00,9.40
2.74,-2.88,16882.00,0.00,18.80
46.88,3.95,16817.00,0.00,11.70
35.47,7.38,16803.00,0.00,14.70
48.02,4.28,16790.00,0.00,9.60
19.43,-9.10,17048.00,0.00,19.90
-2.89,-9.73,16781.00,0.00,11.40
7.21,-7.32,16745.00,0.00,19.40
-4.80,-15.08,16736.00,0.00,19.10
29.08,-9.48,16714.00,0.00,20.10
26.34,-2.58,16687.00,0.00,13.10
26.45,-2.90,16670.00,0.00,14.80
16.88,-12.48,16620.00,0.00,20.80
38.00,10.23,16606.00,0.00,12.70
46.94,4.91,16547.00,0.00,9.90
35.30,6.00,16544.00,0.00,14.40
30.80,-20.51,16522.00,0.00,12.60
20.14,-15.45,16480.00,0.00,35.90
38.53,5.45,16776.00,0.00,16.90
27.24,1.73,17074.00,0.00,12.90
36.71,6.88,17100.00,0.00,20.90
32.12,-13.82,17185.00,0.00,14.80
30.35,-18.14,18057.00,0.00,14.40
31.47,-18.50,18054.00,0.00,19.20
22.75,-18.61,18035.00,0.00,22.70
-4.36,-15.57,18021.00,0.00,23.30
39.93,0.10,17785.00,0.00,16.00
39.92,2.05,17784.00,0.00,14.80
19.59,-3.91,17783.00,0.00,11.10
-2.88,-9.73,17733.00,0.00,13.20
-3.53,-14.18,17698.00,0.00,17.30
40.47,1.33,17654.00,0.00,17.20
29.21,1.36,17612.00,0.00,13.30
-4.70,-15.47,17592.00,0.00,14.80
30.07,-21.90,17585.00,0.00,13.10
25.73,-23.72,17539.00,0.00,12.90
45.82,4.41,17463.00,0.00,12.50
35.05,3.19,17456.00,0.00,17.30
22.86,-20.49,17445.00,0.00,15.30
28.99,-8.62,17415.00,0.00,18.80
34.10,-7.23,17363.00,0.00,8.70
32.48,-18.53,17358.00,0.00,14.00
24.35,-9.54,17348.00,0.00,21.10
35.03,6.10,17346.00,0.00,20.40
35.57,-14.54,17310.00,0.00,13.50
34.02,5.15,17290.00,0.00,26.90
39.85,9.69,17202.00,0.00,14.00
19.95,-8.44,21042.00,0.00,11.10
30.54,-22.06,21046.00,0.00,12.70
-2.99,-11.67,21086.00,0.00,13.30
18.75,-3.88,21274.00,0.00,9.60
37.23,-13.66,26738.00,0.00,12.50
36.84,-13.44,26708.00,0.00,10.90
-10.21,8.40,26696.00,0.00,28.00
31.66,-14.68,26654.00,0.00,15.60
7.68,-4.80,26609.00,0.00,14.50
-2.89,-9.84,26537.00,0.00,13.70
33.63,-13.55,26393.00,0.00,18.00
25.38,-23.94,26315.00,0.00,13.60
19.19,-16.38,26188.00,0.00,33.50
13.90,-13.15,26174.00,0.00,32.20
34.10,-7.23,26126.00,0.00,8.70
19.01,-4.30,26885.00,0.00,15.30
28.10,-9.04,26091.00,0.00,18.80
24.12,-21.35,25963.00,0.00,17.70
45.16,5.08,25957.00,0.00,12.50
46.57,4.25,25931.00,0.00,9.10
23.74,-22.22,25881.00,0.00,15.20
43.01,2.50,25869.00,0.00,11.80
23.72,-21.55,25691.00,0.00,16.40
39.17,4.81,25627.00,0.00,13.10
36.97,-14.11,25262.00,0.00,10.90
26.16,-0.52,25189.00,0.00,12.90
28.40,-9.51,25121.00,0.00,18.80
23.58,-21.79,25063.00,0.00,18.20
26.36,-2.96,25973.00,0.00,14.30
27.30,1.02,26903.00,0.00,15.00
-32.70,-1.34,27058.00,0.00,34.80
26.25,-3.31,27097.00,0.00,13.60
24.98,-19.47,33206.00,0.00,12.60
31.35,-9.56,33138.00,0.00,17.80
26.36,-2.96,33095.00,0.00,13.30
29.27,-13.19,33071.00,0.00,40.90
32.76,-16.62,32964.00,0.00,12.10
34.05,-13.82,32878.00,0.00,16.00
34.23,2.66,32835.00,0.00,13.60
38.62,5.52,32681.00,0.00,15.00
26.04,-21.98,31300.00,0.00,22.40
38.60,9.42,31126.00,0.00,12.70
26.06,-23.21,31037.00,0.00,14.70
-3.00,-8.74,31010.00,0.00,24.50
29.33,-8.72,30685.00,0.00,18.80
42.40,2.20,30559.00,0.00,14.70
29.70,-19.96,30023.00,0.00,16.30
25.80,0.09,29620.00,0.00,12.90
39.58,1.25,28823.00,0.00,17.50
34.24,-6.93,28594.00,0.00,8.70
26.81,1.77,27813.00,0.00,13.90
40.57,7.72,27656.00,0.00,14.00
42.79,1.83,27624.00,0.00,15.90
26.03,-22.99,27525.00,0.00,13.60
30.19,-20.77,27373.00,0.00,13.80
5.13,-4.72,27313.00,0.00,20.70
34.48,-12.59,27155.00,0.00,14.50
37.79,0.89,24958.00,0.00,23.20
24.38,-9.56,16478.00,0.00,22.10
32.49,-18.53,24901.00,0.00,14.00
19.18,-4.38,24817.00,0.00,13.60
25.74,-0.41,23424.00,0.00,14.00
12.29,-3.34,23364.00,0.00,9.60
10.27,-6.62,23323.00,0.00,11.20
24.59,-23.78,23303.00,0.00,11.00
24.61,-23.09,23184.00,0.00,14.00
46.64,5.19,23158.00,0.00,10.90
3.27,-3.80,23148.00,0.00,16.50
36.19,-13.64,22763.00,0.00,10.80
45.99,5.52,22663.00,0.00,10.90
30.12,-21.71,22495.00,0.00,13.10
27.30,1.06,22487.00,0.00,15.00
39.10,9.90,23436.00,0.00,12.70
35.06,-12.91,22485.00,0.00,11.80
46.00,3.69,22375.00,0.00,11.70
36.98,7.27,22326.00,0.00,13.60
19.34,-7.05,22308.00,0.00,10.70
23.58,-20.53,22188.00,0.00,19.60
4.52,-5.41,21942.00,0.00,22.00
32.49,-15.97,21904.00,0.00,12.30
3.53,-4.09,21836.00,0.00,29.00
46.64,3.74,21798.00,0.00,10.90
15.88,-12.64,21691.00,0.00,26.40
16.91,-13.82,21589.00,0.00,15.30
2.99,-3.04,21378.00,0.00,17.80
34.39,5.28,22415.00,0.00,15.80
10.72,-4.65,23513.00,0.00,12.30
16.75,-12.61,23577.00,0.00,16.10
11.83,-3.11,23628.00,0.00,15.30
30.69,-22.03,24789.00,0.00,13.70
43.64,3.02,24714.00,0.00,15.40
31.35,-14.31,24532.00,0.00,14.60
34.54,-7.13,24502.00,0.00,8.70
39.35,-0.22,24476.00,0.00,16.00
12.29,-5.04,24445.00,0.00,14.80
28.78,-8.43,24389.00,0.00,18.80
17.00,-11.02,24356.00,0.00,15.30
-5.79,-12.47,24355.00,0.00,18.20
46.51,4.81,24269.00,0.00,10.90
18.94,-4.17,24254.00,0.00,8.50
8.30,-4.86,24252.00,0.00,12.70
8.93,-5.55,24054.00,0.00,28.70
24.19,-23.26,23980.00,0.00,14.00
12.29,-5.04,23942.00,0.00,14.80
30.69,-13.63,23898.00,0.00,17.00
39.49,-0.42,23873.00,0.00,17.30
31.30,-21.11,23858.00,0.00,10.60
14.39,-13.21,23771.00,0.00,27.60
19.38,-16.82,23758.00,0.00,40.30
18.87,-4.54,23757.00,0.00,15.20
34.63,2.43,23751.00,0.00,14.60
-4.76,-14.96,23727.00,0.00,31.70
-4.30,-12.87,23682.00,0.00,11.80
43.01,2.50,23664.00,0.00,11.80
19.95,-8.45,24878.00,0.00,13.00
22.25,-18.81,16437.00,0.00,37.30
45.96,4.68,18958.00,0.00,15.70
24.98,-19.47,33225.00,0.00,12.60
34.38,-13.25,15607.00,0.00,16.00
22.32,-20.13,14369.00,0.00,17.80
4.81,-5.16,14344.00,0.00,22.50
6.22,-7.89,15693.00,0.00,19.60
17.10,-13.15,15706.00,0.00,19.20
5.45,-6.29,15723.00,0.00,21.90
1.42,-7.42,14293.00,0.00,26.30
25.80,0.09,14241.00,0.00,12.90
35.71,-14.64,15750.00,0.00,13.80
38.57,10.07,15784.00,0.00,12.70
4.68,-8.00,14203.00,0.00,22.10
29.51,-20.91,15161.00,0.00,15.60
17.16,-14.80,14084.00,0.00,19.20
28.75,1.35,15803.00,0.00,13.40
35.31,7.93,15815.00,0.00,17.90
17.36,-11.76,15819.00,0.00,27.80
10.72,-6.72,14061.00,0.00,13.10
-30.19,4.87,14047.00,0.00,20.90
9.78,-6.27,14044.00,0.00,16.60
39.83,-0.62,14011.00,0.00,17.50
29.10,1.46,14000.00,0.00,12.20
38.30,10.53,13944.00,0.00,11.50
47.02,4.46,15887.00,0.00,9.90
42.42,1.77,13932.00,0.00,15.90
12.95,-3.40,15895.00,0.00,11.50
19.95,-8.44,15919.00,0.00,11.10
28.56,-9.87,13890.00,0.00,19.90
-3.13,-11.00,15562.00,0.00,21.10
32.86,-16.29,14405.00,0.00,9.30
32.82,-18.23,15556.00,0.00,11.20
28.15,-9.37,15515.00,0.00,18.80
30.11,-18.97,15186.00,0.00,14.20
41.84,1.45,15121.00,0.00,16.60
36.48,8.30,15102.00,0.00,13.20
36.78,7.61,15219.00,0.00,13.60
35.48,8.19,15099.00,0.00,16.70
40.61,7.70,15249.00,0.00,14.00
37.77,9.91,15030.00,0.00,14.60
36.28,7.09,15274.00,0.00,13.60
38.91,10.45,14975.00,0.00,10.10
45.59,3.82,14947.00,0.00,12.50
-2.85,-9.76,15327.00,0.00,12.20
8.16,-4.86,14895.00,0.00,9.10
36.83,-13.45,14834.00,0.00,9.90
42.40,1.81,13832.00,0.00,14.70
3.08,-6.65,14829.00,0.00,41.00
36.41,-14.28,14724.00,0.00,12.60
32.70,-14.44,14672.00,0.00,20.40
36.98,7.27,14671.00,0.00,13.60
31.24,-13.89,14595.00,0.00,17.50
16.74,-12.64,15452.00,0.00,16.10
20.78,-14.46,14578.00,0.00,34.60
29.47,-9.15,14564.00,0.00,20.10
34.54,-7.13,15481.00,0.00,8.70
20.78,-14.46,14512.00,0.00,34.60
39.43,0.10,14443.00,0.00,17.30
25.22,-22.73,15501.00,0.00,16.30
20.14,-15.45,15503.00,0.00,33.50
38.57,5.54,14437.00,0.00,15.00
25.23,-23.31,14752.00,0.00,11.90
24.68,-22.86,13804.00,0.00,14.00
34.70,2.64,14147.00,0.00,11.30
30.81,-21.74,13784.00,0.00,12.70
26.43,-0.25,16240.00,0.00,13.90
40.09,-0.12,16380.00,0.00,17.30
40.91,4.45,16179.00,0.00,10.50
22.74,-20.49,16202.00,0.00,17.50
36.31,7.39,16226.00,0.00,14.00
30.19,-21.54,13769.00,0.00,13.10
34.15,-0.34,15936.00,0.00,8.70
5.45,-6.54,16171.00,0.00,31.50
38.60,9.42,16002.00,0.00,12.70
36.97,-14.11,16073.00,0.00,10.90
43.47,5.56,16140.00,0.00,13.20
25.00,-24.00,13790.00,0.00,13.60
25.38,-21.89,13698.00,0.00,15.60
45.31,5.21,16055.00,0.00,10.90
42.16,2.87,16384.00,0.00,16.70
20.49,-7.85,13635.00,0.00,10.70
34.35,-13.22,16405.00,0.00,16.00
12.29,-5.04,13731.00,0.00,14.80
33.71,-13.74,13734.00,0.00,14.70
-9.01,13.37,14388.00,1.00,69.40
-14.31,11.62,31782.00,1.00,75.50
-8.35,13.20,15821.00,1.00,67.10
-12.94,14.69,13653.00,1.00,24.30
-14.16,13.35,25533.00,1.00,34.20
-14.05,16.06,24183.00,1.00,24.90
-7.60,16.26,24324.00,1.00,36.80
-6.51,-13.63,25173.00,1.00,15.80
-8.83,9.75,24304.00,1.00,53.30
-5.89,-12.90,28442.00,1.00,16.60
-2.36,-24.45,15399.00,1.00,0.00
-12.27,14.21,18045.00,1.00,26.10
-9.00,14.30,16912.00,1.00,46.40
-13.72,12.08,22724.00,1.00,36.10
-8.98,16.45,24698.00,1.00,35.30
-10.53,12.53,22558.00,1.00,32.30
-8.79,12.66,13733.00,1.00,48.00
-9.22,15.39,19344.00,1.00,53.90
-6.90,17.70,19275.00,1.00,28.90
3.17,-3.78,17614.00,1.00,23.10
-8.32,9.82,32533.00,1.00,25.70
-11.55,15.94,24025.00,1.00,32.20
-8.72,16.67,16301.00,1.00,27.50
-13.02,12.48,14544.00,1.00,40.90
-7.58,16.93,19074.00,1.00,23.10
1.66,-1.96,17147.00,1.00,16.00
-7.15,-15.99,13886.00,1.00,13.50
-7.69,16.23,33083.00,1.00,30.70
-8.63,-18.89,16659.00,1.00,66.10
-7.34,-16.29,17355.00,1.00,22.60
1.42,-7.45,26367.00,1.00,53.40
-8.63,-18.89,16718.00,1.00,70.30
-11.30,-23.44,15000.00,1.00,14.70
-10.05,11.40,21503.00,1.00,56.50
-11.24,15.46,31064.00,1.00,26.40
-2.36,-24.45,15496.00,1.00,0.00
-12.86,13.11,23554.00,1.00,36.50
-9.91,15.69,15433.00,1.00,29.50
-2.36,-24.45,17584.00,1.00,1.00
-13.50,15.59,15855.00,1.00,31.10
-1.87,-24.40,26125.00,1.00,44.10
-8.17,17.03,25978.00,1.00,25.80
-15.16,16.88,27703.00,1.00,29.10
-9.08,15.68,17517.00,1.00,26.40
-31.20,3.34,23571.00,2.00,23.40
-30.52,5.09,14627.00,2.00,20.20
-18.11,-4.07,22670.00,2.00,32.50
-40.69,1.75,31441.00,2.00,28.60
-36.40,-1.63,23010.00,2.00,23.60
-41.29,5.69,14695.00,2.00,46.30
-16.92,4.66,22731.00,2.00,29.80
-41.74,4.56,23057.00,2.00,29.10
-18.27,0.51,32193.00,2.00,22.90
-34.52,-2.71,23441.00,2.00,31.00
-36.53,-1.54,31557.00,2.00,25.60
-13.98,10.00,14841.00,2.00,33.60
-18.40,7.68,22566.00,2.00,38.30
-42.17,0.59,14969.00,2.00,27.10
-29.75,1.94,21371.00,2.00,31.10
-30.76,7.30,21307.00,2.00,32.50
-43.85,1.39,21214.00,2.00,25.80
-25.49,10.29,21189.00,2.00,27.20
-12.09,9.24,33009.00,2.00,27.60
-13.00,7.20,21387.00,2.00,32.00
-28.99,5.96,21174.00,2.00,40.60
-36.75,2.80,21041.00,2.00,33.80
-20.45,9.01,20933.00,2.00,27.90
-30.78,5.54,13642.00,2.00,18.20
-16.36,8.04,33174.00,2.00,33.20
-13.39,8.98,20618.00,2.00,30.80
-20.21,8.60,13618.00,2.00,28.50
-18.19,1.45,14994.00,2.00,44.00
-34.86,-0.06,22643.00,2.00,27.90
-42.52,3.21,21402.00,2.00,14.60
-22.18,9.11,14959.00,2.00,43.70
-29.43,5.49,22536.00,2.00,28.30
-18.37,1.29,22493.00,2.00,34.50
-29.86,6.65,22474.00,2.00,25.40
-40.99,1.94,22460.00,2.00,28.30
-31.30,3.38,32603.00,2.00,17.00
-41.38,0.79,13669.00,2.00,26.50
-30.17,6.97,21445.00,2.00,30.30
-35.20,1.89,23632.00,2.00,21.80
-15.55,-9.54,32756.00,2.00,6.90
-27.21,11.95,21923.00,2.00,18.60
-14.56,-7.27,13665.00,2.00,9.40
-34.18,-0.06,21702.00,2.00,25.20
-18.75,6.85,21661.00,2.00,27.00
-18.76,10.23,21640.00,2.00,58.40
-22.42,7.86,14870.00,2.00,26.50
-20.45,9.78,14573.00,2.00,33.00
